track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Democratic Liberals,Back in Time,studio,Stephen Stills,121990,9/19/1989,0,0.609,0.205,4,-24.443,1,0.949,0.979,0,0.113,0.45,65.641,3
Deterring Nuclear,Back in Time,studio,Stephen Stills,90491,9/19/1989,0,0.757,0.189,11,-22.655,1,0.948,0.966,0,0.143,0.55,58.311,5
Devised Plans,Back in Time,studio,Stephen Stills,101225,9/19/1989,1,0.672,0.202,8,-23.554,0,0.934,0.957,0,0.154,0.494,83.874,3
Heaviosity,Back in Time,studio,Stephen Stills,96515,9/19/1989,0,0.678,0.222,10,-21.794,1,0.951,0.966,0,0.126,0.66,88.826,3
Late Bloomer,Back in Time,studio,Stephen Stills,105391,9/19/1989,0,0.677,0.2,1,-23.702,1,0.919,0.968,0,0.209,0.402,128.479,3
Never War,Back in Time,studio,Stephen Stills,101225,9/19/1989,0,0.729,0.227,0,-24.227,1,0.936,0.963,0,0.217,0.436,100.48,3
On Thatcher,Back in Time,studio,Stephen Stills,116389,9/19/1989,0,0.71,0.209,11,-23.702,0,0.9,0.954,0,0.204,0.503,116.875,4
Recording Southern Cross,Back in Time,studio,Stephen Stills,144481,9/19/1989,0,0.735,0.176,11,-23.377,1,0.897,0.965,0,0.352,0.56,108.721,4
Senator Stills,Back in Time,studio,Stephen Stills,99236,9/19/1989,0,0.715,0.193,10,-24.511,1,0.947,0.981,0,0.155,0.52,61.003,4
Wham Bang Rock and Roll,Back in Time,studio,Stephen Stills,92240,9/19/1989,0,0.563,0.154,9,-24.499,0,0.922,0.978,0,0.142,0.605,83.417,4
Working with Young,Back in Time,studio,Stephen Stills,135193,9/19/1989,0,0.678,0.167,10,-24.478,0,0.861,0.985,0,0.157,0.434,118.324,3
Colorado,Bread and Roses Festival (Live),live,Stephen Stills,208000,9/4/1978,1,0.401,0.44,3,-13.136,0,0.0357,0.808,2.36E-06,0.672,0.26,81.601,4
Everybody's Talking,Bread and Roses Festival (Live),live,Stephen Stills,202640,9/4/1978,1,0.333,0.597,3,-15.815,1,0.063,0.589,0.00423,0.31,0.374,172.751,4
Fallen Eagle,Bread and Roses Festival (Live),live,Stephen Stills,165520,9/4/1978,0,0.286,0.79,4,-10.411,1,0.292,0.496,0.00665,0.72,0.633,147.966,4
Medley Crossroads You Can't Catch,Bread and Roses Festival (Live),live,Stephen Stills,441893,9/4/1978,1,0.413,0.534,1,-11.245,1,0.0455,0.586,0.00236,0.727,0.531,154.803,4
Old Man Trouble,Bread and Roses Festival (Live),live,Stephen Stills,480253,9/4/1978,0,0.36,0.24,11,-13.01,1,0.0323,0.903,1.87E-06,0.929,0.196,126.434,3
One Moment At A Time,Bread and Roses Festival (Live),live,Stephen Stills,308560,9/4/1978,1,0.439,0.382,11,-16.032,1,0.151,0.859,2.13E-05,0.941,0.42,77.299,3
Take Me Back To Ohio Valley,Bread and Roses Festival (Live),live,Stephen Stills,235080,9/4/1978,0,0.458,0.67,3,-11.705,0,0.0946,0.656,1.81E-05,0.892,0.508,128.852,4
Everybody Knows,Everybody Knows,studio,Stephen Stills,326684,9/22/2017,17,0.715,0.497,9,-7.828,0,0.0335,0.518,1.35E-06,0.332,0.387,123.977,4
Girl from the North Country,Everybody Knows,studio,Stephen Stills,206184,9/22/2017,9,0.413,0.208,7,-13.704,1,0.0302,0.747,1.79E-06,0.118,0.282,147.049,4
Handle with Care,Everybody Knows,studio,Stephen Stills,223021,9/22/2017,9,0.547,0.547,7,-6.971,1,0.0306,0.0265,0,0.107,0.771,120.979,4
Houses,Everybody Knows,studio,Stephen Stills,276773,9/22/2017,4,0.57,0.343,8,-11.4,1,0.0276,0.809,0,0.2,0.17,108.033,4
Judy,Everybody Knows,studio,Stephen Stills,242986,9/22/2017,6,0.5,0.608,7,-8.949,1,0.0282,0.242,2.11E-05,0.166,0.526,178.478,4
Questions,Everybody Knows,studio,Stephen Stills,224770,9/22/2017,9,0.592,0.558,7,-8.158,1,0.0273,0.0426,0.00019,0.222,0.665,117.041,4
Reason to Believe,Everybody Knows,studio,Stephen Stills,177107,9/22/2017,15,0.666,0.381,4,-11.847,1,0.0306,0.659,0,0.111,0.673,76.539,3
River of Gold,Everybody Knows,studio,Stephen Stills,216792,9/22/2017,5,0.555,0.35,5,-11.004,1,0.0302,0.871,0,0.146,0.448,129.579,4
So Begins the Task,Everybody Knows,studio,Stephen Stills,215760,9/22/2017,9,0.614,0.427,11,-11.323,1,0.0304,0.517,3.39E-05,0.111,0.458,77.859,4
Who Knows Where the Time Goes,Everybody Knows,studio,Stephen Stills,340662,9/22/2017,10,0.389,0.292,4,-11.541,1,0.0277,0.933,0.0116,0.0999,0.123,136.131,4
Cuba Al Fin,Havana Jam Cuba 1979 (live),live,Stephen Stills,503666,7/5/2021,1,0.285,0.863,0,-7.954,1,0.105,0.211,0.000308,0.932,0.796,96.83,4
Fine Love,Havana Jam Cuba 1979 (live),live,Stephen Stills,340026,7/5/2021,1,0.309,0.863,2,-6.19,1,0.0761,0.225,0.000171,0.933,0.659,107.121,4
Part Time Love,Havana Jam Cuba 1979 (live),live,Stephen Stills,495493,7/5/2021,1,0.126,0.838,0,-6.527,1,0.0737,0.194,0.233,0.944,0.463,173.684,3
Precious Love,Havana Jam Cuba 1979 (live),live,Stephen Stills,361506,7/5/2021,1,0.224,0.885,2,-7.569,1,0.0898,0.0154,0.111,0.847,0.503,106.12,4
Red House,Havana Jam Cuba 1979 (live),live,Stephen Stills,565506,7/5/2021,1,0.195,0.789,2,-7.058,1,0.122,0.645,0.0224,0.61,0.378,157.885,4
Buyin' Time,Illegal Stills,studio,Stephen Stills,215333,1976,10,0.613,0.843,0,-10.86,1,0.0733,0.264,0.00449,0.296,0.907,94.743,4
Circlin',Illegal Stills,studio,Stephen Stills,259640,1976,4,0.607,0.812,0,-11.805,1,0.0349,0.0878,8.61E-05,0.141,0.673,126.991,4
Closer to You,Illegal Stills,studio,Stephen Stills,214906,1976,17,0.544,0.813,2,-9.714,1,0.0416,0.344,1.54E-06,0.162,0.748,157.97,4
Different Tongues,Illegal Stills,studio,Stephen Stills,189573,1976,5,0.397,0.422,7,-12.449,1,0.0336,0.694,3.46E-05,0.536,0.382,149.31,4
Midnight in Paris,Illegal Stills,studio,Stephen Stills,239333,1976,7,0.622,0.707,0,-9.945,1,0.0405,0.413,0.00121,0.0703,0.835,134.166,4
No Me Niegas,Illegal Stills,studio,Stephen Stills,211626,1976,6,0.636,0.643,0,-11.565,0,0.0296,0.588,0.00374,0.699,0.882,137.213,4
Ring of Love,Illegal Stills,studio,Stephen Stills,242266,1976,5,0.518,0.717,0,-11.838,1,0.0478,0.435,8.29E-06,0.239,0.573,144.951,4
Soldier,Illegal Stills,studio,Stephen Stills,179266,1976,7,0.757,0.552,9,-10.552,0,0.029,0.654,0.00012,0.0689,0.866,121.472,4
Stateline Blues,Illegal Stills,studio,Stephen Stills,119200,1976,13,0.486,0.335,7,-14.744,1,0.0435,0.775,0,0.118,0.789,172.992,4
The Loner,Illegal Stills,studio,Stephen Stills,254026,1976,14,0.588,0.822,9,-8.186,1,0.0427,0.342,0.000121,0.399,0.735,123.309,4
All I Know Is What You Tell Me,Just Roll Tape - April 26th 1968,live,Stephen Stills,99400,7/9/2007,20,0.587,0.189,7,-14.239,1,0.0338,0.726,0,0.117,0.297,142.781,4
Bumblebee (Do You Need a Place to Hide?),Just Roll Tape - April 26th 1968,live,Stephen Stills,112413,7/9/2007,9,0.684,0.342,7,-11.724,1,0.049,0.706,3.85E-06,0.183,0.612,116.217,4
Dreaming of Snakes,Just Roll Tape - April 26th 1968,live,Stephen Stills,103186,7/9/2007,11,0.488,0.152,4,-16.424,0,0.0292,0.847,0.00318,0.115,0.257,78.421,3
Helplessly Hoping,Just Roll Tape - April 26th 1968,live,Stephen Stills,129720,7/9/2007,20,0.488,0.235,7,-13.99,1,0.0373,0.843,0,0.111,0.483,167.884,4
The Doctor Will See You Now,Just Roll Tape - April 26th 1968,live,Stephen Stills,156093,7/9/2007,13,0.681,0.269,7,-12.22,1,0.0419,0.784,2.97E-05,0.106,0.441,78.513,4
Wooden Ships,Just Roll Tape - April 26th 1968,live,Stephen Stills,143920,7/9/2007,20,0.504,0.295,7,-13.128,1,0.0405,0.824,1.21E-06,0.0866,0.673,158.798,4
Crossroads/You Can't Catch Me,Live,live,Stephen Stills,281026,3/15/2005,14,0.51,0.545,4,-9.812,0,0.0556,0.291,0.015,0.967,0.422,144.51,4
Everybody's Talkin at Me,Live,live,Stephen Stills,162533,3/15/2005,15,0.414,0.353,9,-14.767,0,0.0759,0.672,3.82E-05,0.895,0.467,126.675,4
Four Days Gone,Live,live,Stephen Stills,235773,3/15/2005,9,0.355,0.577,5,-11.493,1,0.0723,0.184,0.0083,0.94,0.217,110.975,3
Special Care,Live,live,Stephen Stills,215106,3/15/2005,7,0.436,0.974,2,-5.276,1,0.122,0.0162,0.0314,0.94,0.659,123.275,4
Band Introductions,Live at Berkeley 1971,live,Stephen Stills,252003,4/28/2023,3,0.349,0.779,11,-21.422,0,0.887,0.576,0,0.9,0.0366,70.132,5
